search_query,id,missedIngredientCount,type,aisle,usedIngredientCount,title,name,unit,amount
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",632525,4,missed_ingredient,Baking,3,Apple Custard Pie With Oatmeal Crust,vanilla extract,teaspoon,0.5
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",632525,4,used_ingredient,Produce,3,Apple Custard Pie With Oatmeal Crust,apples,,3.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",632525,4,used_ingredient,"Milk, Eggs, Other Dairy",3,Apple Custard Pie With Oatmeal Crust,butter,g,200.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",632525,4,used_ingredient,"Milk, Eggs, Other Dairy",3,Apple Custard Pie With Oatmeal Crust,milk,cup,0.5
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,missed_ingredient,Baking,3,Dried Fruit and Ginger Scones,baking powder,tbsp,1.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,missed_ingredient,Baking,3,Dried Fruit and Ginger Scones,cake flour,cup,1.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,missed_ingredient,Dried Fruits;Produce;Baking,3,Dried Fruit and Ginger Scones,candied ginger,cup,0.25
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,missed_ingredient,Dried Fruits;Produce,3,Dried Fruit and Ginger Scones,dried cranberries,cup,0.25
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,missed_ingredient,"Milk, Eggs, Other Dairy",3,Dried Fruit and Ginger Scones,heavy cream,cup,0.25
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,used_ingredient,"Milk, Eggs, Other Dairy",3,Dried Fruit and Ginger Scones,butter,tbsp,5.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,used_ingredient,Dried Fruits;Produce,3,Dried Fruit and Ginger Scones,dried apples,cup,0.25
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",641651,5,used_ingredient,"Milk, Eggs, Other Dairy",3,Dried Fruit and Ginger Scones,whole milk,cup,0.75
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,missed_ingredient,Baking,3,Easy Mango Tart Recipe,cornstarch,tablespoon,2.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,missed_ingredient,Sweet Snacks,3,Easy Mango Tart Recipe,digestive biscuits,packet,1.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,missed_ingredient,"Milk, Eggs, Other Dairy",3,Easy Mango Tart Recipe,egg yolks,,2.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,missed_ingredient,"Milk, Eggs, Other Dairy",3,Easy Mango Tart Recipe,heavy cream,tablespoons,2.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,missed_ingredient,Ethnic Foods,3,Easy Mango Tart Recipe,mango pulp,cup,0.25
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,used_ingredient,"Milk, Eggs, Other Dairy",3,Easy Mango Tart Recipe,butter,tablespoon,1.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,used_ingredient,Produce,3,Easy Mango Tart Recipe,mangoes,,3.0
"[' apples', ' sugar', ' flour', ' mango', ' milk', ' butter']=2",666225,5,used_ingredient,"Milk, Eggs, Other Dairy",3,Easy Mango Tart Recipe,milk,cup,1.0
