,depth,element,height,parentNode,text,width,x,xpath,y,attributes.charset,attributes.content,attributes.name,attributes.itemprop,attributes.class,attributes.href,attributes.aria-label,attributes.fill,attributes.height,attributes.stroke,attributes.stroke-width,attributes.viewBox,attributes.width,attributes.id,attributes.type,attributes.value,attributes.autocapitalize,attributes.autocomplete,attributes.spellcheck,attributes.role,attributes.style,attributes.tabindex,attributes.seo-pixel,attributes.aria-expanded,attributes.data-ved,attributes.xmlns,price,attributes.aria-hidden,attributes.alt,attributes.data-deferred,attributes.src,attributes.focusable
37,11,DIV,0,DIV.RXaOfd,Any time,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/div/div,0.0,,,,,TWMOUc,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,11,SPAN,0,DIV.RXaOfd,,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/div/span,0.0,,,,,OmTIzf,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,UL,0,DIV.PA9J5,".ozatM{font-size:12px;text-transform:uppercase}.ozatM .yNFsl,.ozatM li{list-style-type:none;list-style-position:outside;list-style-image:none}.yNFsl.SkUj4c,.yNFsl a{color:rgba(0,0,0,0.54);text-decoration:none;padding:6px 44px 6px 14px;line-height:17px;display:block}.SkUj4c{background-image:url(//ssl.gstatic.com/ui/v1/menu/checkmark2.png);background-position:right center;background-repeat:no-repeat}.SkUj4c:active{background-color:#f8f9fa}Any timePast hourPast 24 hoursPast weekPast monthPast year",0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul,0.0,,,,,sa1toc ozatM,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,LI,0,UL.sa1toc.ozatM,Any time,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[1],0.0,,,,,yNFsl SkUj4c,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,LI,0,UL.sa1toc.ozatM,Past hour,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[2],0.0,,,,,yNFsl,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,A,0,LI.yNFsl,Past hour,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[2]/a,0.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnt&tbs=qdr:h&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQpwUIDQ,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11,LI,0,UL.sa1toc.ozatM,Past 24 hours,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[3],0.0,,,,,yNFsl,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,A,0,LI.yNFsl,Past 24 hours,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[3]/a,0.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnt&tbs=qdr:d&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQpwUIDg,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11,LI,0,UL.sa1toc.ozatM,Past week,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[4],0.0,,,,,yNFsl,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12,A,0,LI.yNFsl,Past week,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[4]/a,0.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnt&tbs=qdr:w&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQpwUIDw,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11,LI,0,UL.sa1toc.ozatM,Past month,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[5],0.0,,,,,yNFsl,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12,A,0,LI.yNFsl,Past month,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[5]/a,0.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnt&tbs=qdr:m&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQpwUIEA,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11,LI,0,UL.sa1toc.ozatM,Past year,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[6],0.0,,,,,yNFsl,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12,A,0,LI.yNFsl,Past year,0.0,0.0,//*[@id='st-card']/div/div/div/div[1]/ul/li[6]/a,0.0,,,,,,/search?q=rear+windshield+wipers&gl=US&hl=en&source=lnt&tbs=qdr:y&sa=X&ved=0ahUKEwiA_caBzP73AhXNWM0KHVtuAxgQpwUIEQ,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9,DIV,0,DIV.RnNGze,All resultsAll resultsVerbatim,0.0,0.0,//*[@id='st-card']/div/div/div/div[2],0.0,,,,,PA9J5,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10,DIV,0,DIV.PA9J5,All results,0.0,0.0,//*[@id='st-card']/div/div/div/div[2]/div,0.0,,,,,RXaOfd,,,,,,,,,,,,,,,button,,0,,,,,,,,,,
53,11,DIV,0,DIV.RXaOfd,All results,0.0,0.0,//*[@id='st-card']/div/div/div/div[2]/div/div,0.0,,,,,TWMOUc,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,11,SPAN,0,DIV.RXaOfd,,0.0,0.0,//*[@id='st-card']/div/div/div/div[2]/div/span,0.0,,,,,OmTIzf,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10,UL,0,DIV.PA9J5,All resultsVerbatim,0.0,0.0,//*[@id='st-card']/div/div/div/div[2]/ul,0.0,,,,,sa1toc ozatM,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,11,LI,0,UL.sa1toc.ozatM,All results,0.0,0.0,//*[@id='st-card']/div/div/div/div[2]/ul/li[1],0.0,,,,,yNFsl SkUj4c,,,,,,,,,,,,,,,,,,,,,,,,,,,
